time,x,y,z,yaw_deg,onboard_gate_id,onboard_active_gate_id,onboard_phase,referee_active_gate_id,target_name,target_x,target_y,target_z,distance_to_gate,bearing_error,vertical_error,command_surge,command_sway,command_heave,command_yaw
0.000,-5.0000,-0.0000,-5.0000,-0.0000,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,3.0668,-6.9259,-0.2500,1.0000,0.0000,-0.1125,-0.0500
0.033,-4.9968,-0.0000,-5.0003,-0.0079,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,3.0636,-6.9251,-0.2497,1.0000,0.0000,-0.1123,-0.0544
0.067,-4.9907,-0.0000,-5.0010,-0.0243,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,3.0574,-6.9227,-0.2490,1.0000,0.0000,-0.1121,-0.0544
0.100,-4.9815,-0.0000,-5.0020,-0.0488,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,3.0483,-6.9189,-0.2480,1.0000,0.0000,-0.1116,-0.0543
0.133,-4.9696,-0.0000,-5.0032,-0.0814,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,3.0364,-6.9137,-0.2468,1.0000,0.0000,-0.1110,-0.0543
0.167,-4.9549,-0.0000,-5.0048,-0.1217,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,3.0217,-6.9071,-0.2452,1.0000,0.0000,-0.1103,-0.0542
0.200,-4.9376,-0.0001,-5.0066,-0.1697,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,3.0045,-6.8993,-0.2434,1.0000,0.0000,-0.1095,-0.0542
0.233,-4.9177,-0.0001,-5.0087,-0.2250,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.9847,-6.8904,-0.2413,1.0000,0.0000,-0.1086,-0.0541
0.267,-4.8955,-0.0001,-5.0111,-0.2875,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.9624,-6.8806,-0.2389,1.0000,0.0000,-0.1075,-0.0540
0.300,-4.8709,-0.0002,-5.0137,-0.3571,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.9379,-6.8700,-0.2363,1.0000,0.0000,-0.1064,-0.0540
0.333,-4.8440,-0.0003,-5.0165,-0.4334,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.9111,-6.8588,-0.2335,1.0000,0.0000,-0.1051,-0.0539
0.367,-4.8150,-0.0004,-5.0195,-0.5164,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.8822,-6.8472,-0.2305,1.0000,0.0000,-0.1037,-0.0538
0.400,-4.7840,-0.0005,-5.0227,-0.6058,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.8513,-6.8355,-0.2273,0.9909,0.0000,-0.1023,-0.0537
0.433,-4.7510,-0.0006,-5.0261,-0.7073,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.8184,-6.8180,-0.2239,0.9795,0.0000,-0.1008,-0.0535
0.467,-4.7162,-0.0008,-5.0296,-0.8233,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.7837,-6.7924,-0.2204,0.9674,0.0000,-0.0992,-0.0533
0.500,-4.6796,-0.0011,-5.0333,-0.9532,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.7472,-6.7590,-0.2167,0.9548,0.0000,-0.0975,-0.0531
0.533,-4.6415,-0.0013,-5.0372,-1.0967,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.7092,-6.7184,-0.2128,0.9417,0.0000,-0.0958,-0.0528
0.567,-4.6018,-0.0016,-5.0412,-1.2534,1,1,APPROACH,1,approach,-1.9657,-0.3686,-5.2500,2.6697,-6.6709,-0.2088,0.9281,0.0000,-0.0940,-0.0524
