time,x,y,z,yaw_deg,onboard_gate_id,onboard_active_gate_id,onboard_phase,referee_active_gate_id,target_name,target_x,target_y,target_z,distance_to_gate,bearing_error,vertical_error,command_source,command_surge,command_sway,command_heave,command_yaw,vision_found,vision_confidence,vision_x_error,vision_y_error,vision_area,vision_angle
0.000,-5.0000,-0.0000,-5.0000,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,3.0104,0.0000,-0.2500,beacon,1.0000,0.0000,-0.1125,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.033,-4.9968,-0.0000,-5.0003,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,3.0072,0.0000,-0.2497,beacon,1.0000,0.0000,-0.1123,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.067,-4.9906,-0.0000,-5.0010,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,3.0009,0.0000,-0.2490,beacon,1.0000,0.0000,-0.1121,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,-4.9814,-0.0000,-5.0020,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.9917,0.0000,-0.2480,beacon,1.0000,0.0000,-0.1116,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.133,-4.9694,-0.0000,-5.0032,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.9796,0.0000,-0.2468,beacon,1.0000,0.0000,-0.1110,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.167,-4.9546,-0.0000,-5.0048,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.9647,0.0000,-0.2452,beacon,1.0000,0.0000,-0.1103,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,-4.9372,-0.0000,-5.0066,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.9472,0.0000,-0.2434,beacon,1.0000,0.0000,-0.1095,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.233,-4.9172,-0.0000,-5.0087,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.9271,0.0000,-0.2413,beacon,1.0000,0.0000,-0.1086,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.267,-4.8948,-0.0000,-5.0111,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.9046,0.0000,-0.2389,beacon,1.0000,0.0000,-0.1075,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,-4.8700,-0.0000,-5.0137,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.8797,0.0000,-0.2363,beacon,1.0000,0.0000,-0.1064,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.333,-4.8430,-0.0000,-5.0165,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.8526,0.0000,-0.2335,beacon,0.9984,0.0000,-0.1051,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.367,-4.8138,-0.0000,-5.0195,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.8232,0.0000,-0.2305,beacon,0.9881,0.0000,-0.1037,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,-4.7826,-0.0000,-5.0227,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.7919,0.0000,-0.2273,beacon,0.9772,0.0000,-0.1023,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.433,-4.7495,-0.0000,-5.0261,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.7586,0.0000,-0.2239,beacon,0.9655,0.0000,-0.1008,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.467,-4.7146,-0.0000,-5.0296,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.7235,0.0000,-0.2204,beacon,0.9532,0.0000,-0.0992,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,-4.6780,-0.0000,-5.0333,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.6868,0.0000,-0.2167,beacon,0.9404,0.0000,-0.0975,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.533,-4.6399,-0.0000,-5.0372,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.6485,0.0000,-0.2128,beacon,0.9270,0.0000,-0.0958,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.567,-4.6003,-0.0000,-5.0412,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.6087,0.0000,-0.2088,beacon,0.9130,0.0000,-0.0940,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,-4.5594,-0.0000,-5.0453,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.5676,0.0000,-0.2047,beacon,0.8986,0.0000,-0.0921,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.633,-4.5172,-0.0000,-5.0496,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.5252,0.0000,-0.2004,beacon,0.8838,0.0000,-0.0902,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.667,-4.4740,-0.0000,-5.0539,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.4817,0.0000,-0.1961,beacon,0.8686,0.0000,-0.0882,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,-4.4297,-0.0000,-5.0583,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.4372,0.0000,-0.1917,beacon,0.8530,0.0000,-0.0862,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.733,-4.3844,-0.0000,-5.0629,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.3918,0.0000,-0.1871,beacon,0.8371,0.0000,-0.0842,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.767,-4.3384,-0.0000,-5.0674,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.3455,0.0000,-0.1826,beacon,0.8209,0.0000,-0.0822,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,-4.2915,-0.0000,-5.0721,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.2984,0.0000,-0.1779,beacon,0.8045,0.0000,-0.0801,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.833,-4.2441,-0.0000,-5.0768,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.2508,0.0000,-0.1732,beacon,0.7878,0.0000,-0.0780,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.867,-4.1960,-0.0000,-5.0815,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.2025,0.0000,-0.1685,beacon,0.7709,0.0000,-0.0758,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,-4.1475,-0.0000,-5.0863,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.1537,0.0000,-0.1637,beacon,0.7538,0.0000,-0.0737,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.933,-4.0985,-0.0000,-5.0911,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.1046,0.0000,-0.1589,beacon,0.7366,0.0000,-0.0715,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
0.967,-4.0492,-0.0000,-5.0959,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.0550,0.0000,-0.1541,beacon,0.7193,0.0000,-0.0694,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
1.000,-3.9997,-0.0000,-5.1007,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,2.0053,0.0000,-0.1493,beacon,0.7018,0.0000,-0.0672,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
1.033,-3.9499,-0.0000,-5.1055,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,1.9553,0.0000,-0.1445,fallback_beacon,0.6843,0.0000,-0.0650,0.0000,false,0.0000,0.0000,0.0000,0.0000,0.0000
1.067,-3.9000,-0.0000,-5.1104,-0.0000,1,1,APPROACH,1,approach,-2.0000,0.0000,-5.2500,1.9052,0.0000,-0.1396,vision,0.4500,0.0000,0.0000,0.0000,true,0.8030,0.0000,-0.0250,0.0620,0.0000
