time,x,y,z,yaw_deg,onboard_active_gate_id,referee_active_gate_id,distance_to_gate,bearing_error,vertical_error,command_surge,command_sway,command_heave,command_yaw
0.000,-5.0000,-0.0000,-5.0000,-0.0000,1,1,5.0062,0.0000,-0.2500,1.0000,0.0000,-0.1125,0.0000
0.033,-4.9968,-0.0000,-5.0003,-0.0000,1,1,5.0031,0.0000,-0.2497,1.0000,0.0000,-0.1123,0.0000
0.067,-4.9906,-0.0000,-5.0010,-0.0000,1,1,4.9968,0.0000,-0.2490,1.0000,0.0000,-0.1121,0.0000
0.100,-4.9814,-0.0000,-5.0020,-0.0000,1,1,4.9876,0.0000,-0.2480,1.0000,0.0000,-0.1116,0.0000
0.133,-4.9694,-0.0000,-5.0032,-0.0000,1,1,4.9755,0.0000,-0.2468,1.0000,0.0000,-0.1110,0.0000
0.167,-4.9546,-0.0000,-5.0048,-0.0000,1,1,4.9606,0.0000,-0.2452,1.0000,0.0000,-0.1103,0.0000
0.200,-4.9372,-0.0000,-5.0066,-0.0000,1,1,4.9431,0.0000,-0.2434,1.0000,0.0000,-0.1095,0.0000
0.233,-4.9172,-0.0000,-5.0087,-0.0000,1,1,4.9231,0.0000,-0.2413,1.0000,0.0000,-0.1086,0.0000
0.267,-4.8948,-0.0000,-5.0111,-0.0000,1,1,4.9006,0.0000,-0.2389,1.0000,0.0000,-0.1075,0.0000
0.300,-4.8700,-0.0000,-5.0137,-0.0000,1,1,4.8757,0.0000,-0.2363,1.0000,0.0000,-0.1064,0.0000
0.333,-4.8430,-0.0000,-5.0165,-0.0000,1,1,4.8486,0.0000,-0.2335,1.0000,0.0000,-0.1051,0.0000
0.367,-4.8138,-0.0000,-5.0195,-0.0000,1,1,4.8193,0.0000,-0.2305,1.0000,0.0000,-0.1037,0.0000
0.400,-4.7826,-0.0000,-5.0227,-0.0000,1,1,4.7880,0.0000,-0.2273,1.0000,0.0000,-0.1023,0.0000
0.433,-4.7493,-0.0000,-5.0261,-0.0000,1,1,4.7546,0.0000,-0.2239,1.0000,0.0000,-0.1008,0.0000
0.467,-4.7142,-0.0000,-5.0296,-0.0000,1,1,4.7194,0.0000,-0.2204,1.0000,0.0000,-0.0992,0.0000
