time,event,gate_id,details
2.833,onboard_gate_reached,1,reason=close_threshold
3.500,referee_gate_passed,1,
4.067,onboard_switch,1,"to_gate_id=2, reason=range_increased_after_reach"
7.400,onboard_gate_reached,2,reason=close_threshold
8.000,referee_gate_passed,2,
8.833,onboard_switch,2,"to_gate_id=3, reason=range_increased_after_reach"
13.600,collision,3,referee_active_gate_id=3
13.667,collision,3,referee_active_gate_id=3
13.900,collision,3,referee_active_gate_id=3
13.933,collision,3,referee_active_gate_id=3
13.967,collision,3,referee_active_gate_id=3
14.000,collision,3,referee_active_gate_id=3
14.033,collision,3,referee_active_gate_id=3
14.067,collision,3,referee_active_gate_id=3
14.100,collision,3,referee_active_gate_id=3
14.133,collision,3,referee_active_gate_id=3
14.167,collision,3,referee_active_gate_id=3
14.200,collision,3,referee_active_gate_id=3
14.233,collision,3,referee_active_gate_id=3
14.267,collision,3,referee_active_gate_id=3
14.300,collision,3,referee_active_gate_id=3
14.333,collision,3,referee_active_gate_id=3
14.367,collision,3,referee_active_gate_id=3
14.400,collision,3,referee_active_gate_id=3
14.433,collision,3,referee_active_gate_id=3
14.467,collision,3,referee_active_gate_id=3
14.500,collision,3,referee_active_gate_id=3
14.533,collision,3,referee_active_gate_id=3
14.567,collision,3,referee_active_gate_id=3
14.600,collision,3,referee_active_gate_id=3
14.633,collision,3,referee_active_gate_id=3
14.667,collision,3,referee_active_gate_id=3
14.700,collision,3,referee_active_gate_id=3
14.733,collision,3,referee_active_gate_id=3
14.767,collision,3,referee_active_gate_id=3
14.800,collision,3,referee_active_gate_id=3
14.833,collision,3,referee_active_gate_id=3
14.867,collision,3,referee_active_gate_id=3
14.900,collision,3,referee_active_gate_id=3
14.933,collision,3,referee_active_gate_id=3
14.967,collision,3,referee_active_gate_id=3
15.000,collision,3,referee_active_gate_id=3
15.033,collision,3,referee_active_gate_id=3
15.067,collision,3,referee_active_gate_id=3
15.100,collision,3,referee_active_gate_id=3
15.133,collision,3,referee_active_gate_id=3
15.167,collision,3,referee_active_gate_id=3
15.200,collision,3,referee_active_gate_id=3
15.233,collision,3,referee_active_gate_id=3
15.267,collision,3,referee_active_gate_id=3
15.300,collision,3,referee_active_gate_id=3
15.333,collision,3,referee_active_gate_id=3
15.367,collision,3,referee_active_gate_id=3
15.400,collision,3,referee_active_gate_id=3
15.433,collision,3,referee_active_gate_id=3
15.467,collision,3,referee_active_gate_id=3
15.500,collision,3,referee_active_gate_id=3
15.533,collision,3,referee_active_gate_id=3
15.567,collision,3,referee_active_gate_id=3
15.600,collision,3,referee_active_gate_id=3
15.633,collision,3,referee_active_gate_id=3
15.667,collision,3,referee_active_gate_id=3
15.700,collision,3,referee_active_gate_id=3
15.733,collision,3,referee_active_gate_id=3
15.767,collision,3,referee_active_gate_id=3
15.800,collision,3,referee_active_gate_id=3
15.833,collision,3,referee_active_gate_id=3
